patch,seed,arm,arm_label,eval,task,per_class,n_samples,macro_f1,accuracy
8,1,raw,raw patches,unseen,snr_doppler,50,1050,0.238366,0.241465
8,1,raw,raw patches,unseen,snr_doppler,100,2100,0.291285,0.293089
8,1,resnet18,ResNet-18 (frozen),unseen,snr_doppler,2,42,0.12509,0.128226
8,1,resnet18,ResNet-18 (frozen),unseen,snr_doppler,5,105,0.10338,0.115737
8,1,resnet18,ResNet-18 (frozen),unseen,snr_doppler,10,210,0.137328,0.139883
8,1,resnet18,ResNet-18 (frozen),unseen,snr_doppler,20,420,0.157907,0.162365
8,1,resnet18,ResNet-18 (frozen),unseen,snr_doppler,50,1050,0.168535,0.189009
8,1,resnet18,ResNet-18 (frozen),unseen,snr_doppler,100,2100,0.211267,0.22398
8,1,transformer_synth,LWM Transformer (pretrained),unseen,snr_doppler,2,42,0.075596,0.079101
8,1,transformer_synth,LWM Transformer (pretrained),unseen,snr_doppler,5,105,0.093606,0.093256
8,1,transformer_synth,LWM Transformer (pretrained),unseen,snr_doppler,10,210,0.117084,0.123231
8,1,transformer_synth,LWM Transformer (pretrained),unseen,snr_doppler,20,420,0.145719,0.149875
8,1,transformer_synth,LWM Transformer (pretrained),unseen,snr_doppler,50,1050,0.188458,0.187344
8,1,transformer_synth,LWM Transformer (pretrained),unseen,snr_doppler,100,2100,0.324574,0.320566
